param n := 40;
param C := 10;

param points (tr) : 
	1		2	:=
1	35.7 	16.2
2	37.25 	15.85
3	36.65 	14.7
4	38.5 	14.65
5	39 		16.3
6	40.35 	14.8
7	38.6 	15.4
8	37.9 	16.85
9	35.35 	14.95
10	36.7 	13.4
11	38.8 	13.3
12	37.5 	14.2
13	39.55 	13.75
14	37.7 	11.8
15	35.4 	13.75
16	34.75 	16.5
17	33.95 	14.55
18	35.7 	13.15
19	36 		11.15
20	36.6	11.8
21	20.4 	9.75
22	23.2 	9.6
23	22.75 	7.2
24	21.6 	7.95
25	22.2 	9.6
26	22.05	11.4
27	25.25 	11.25
28	24.35 	7.65
29	23.95 	7.45
30	24.25 	9.2
31	23.8 	11.1
32	24.95 	9.2
33	23.3 	8.5
34	22.25 	8.45
35	23.05 	10.6
36	21.45 	10.55
37	21.25 	9.1
38	24.7 	10.4
39	25.9 	9.65
40	24.8 	8.4		;

param groups :=
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	-1
22	-1
23	-1
24	-1
25	-1
26	-1
27	-1
28	-1
29	-1
30	-1
31	-1
32	-1
33	-1
34	-1
35	-1
36	-1
37	-1
38	-1
39	-1
40	-1	;	
